date,price,qty,agg
2021-03-01,101953923127.77475,315659.9249995249,15061638665.467928
2021-03-02,85553544531.35239,273100.4349990666,13251422043.06816
2021-03-03,108436443376.80153,350311.3539988582,17795832861.211823
2021-03-04,120440679521.20743,387428.8369984524,19138821076.12567
2021-03-05,105850500995.66211,354602.755999314,16912469978.52725
2021-03-06,66957524847.04766,215092.90999959016,10381734354.301035
2021-03-07,79821753963.41716,248398.11599946584,12500440245.101171
2021-03-08,92793377991.68011,308339.8659992915,15655716338.59215
2021-03-09,98567316368.67409,285604.86599925405,15409277618.85413
2021-03-10,141052220996.84256,401159.4249987499,22279861842.410027
2021-03-11,136526184434.8705,364681.31799855403,20569039537.454475
2021-03-12,128103735828.50467,335495.0419984298,19043301948.538605
2021-03-13,128933265307.06583,320322.4189988529,18993477588.80246
2021-03-14,90735269221.57483,231991.65499937817,14012474063.365269
2021-03-15,163752325373.4192,448820.8299984132,25683051451.713387
2021-03-16,131863400900.81192,339718.20199877344,18756792660.06893
2021-03-17,130230082557.12215,339397.71199884266,19076274044.571877
2021-03-18,115038644483.79442,305100.0259990897,17876750420.565758
2021-03-19,100656222080.80457,259039.53399922114,15107381418.928299
2021-03-20,78726017017.40675,203680.0939994743,12000520873.647486
2021-03-21,89229123170.88573,237518.69599917324,13576194106.985857
2021-03-22,110995802750.0775,293063.01599895675,16556513024.726118
2021-03-23,98119610137.3609,276198.97399887047,15088685196.630274
2021-03-24,136270861182.92876,394172.523997771,21637316839.835266
2021-03-25,138828252066.26505,416848.09099746885,21627711387.302914
2021-03-26,92341544256.69131,271957.8419994338,14483003307.725056
2021-03-27,82978862767.08453,234435.34599958683,12939134315.653057
2021-03-28,72627015827.10779,200603.76799943295,11188756872.799868
2021-03-29,106072269039.26129,277215.26799962774,15858571872.533014
2021-03-30,90393101091.70122,232824.06499966254,13629362092.384998
2021-03-31,128288788501.2488,337038.3489991189,19776038991.849663
